rank,Protein,Bait,rep1,rep2,pi1,pi2,pi3,gamma3,gamma3_avg,FDR
1653,GCA,TMEMV5,3.0,1.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9043655227766109
1653,GCA,TMEMmyc,3.0,1.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9043655227766109
1653,GORAB,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9040909928030354
1653,GORAB,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9040909928030354
1653,HMGB3,TMEMV5,3.0,1.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9049871565915912
1653,HMGB3,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9049871565915912
1653,KDM4A,TMEMV5,3.0,1.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9045801248266837
1653,KDM4A,TMEMmyc,3.0,1.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9045801248266837
1653,KDM4B,TMEMV5,3.0,1.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9045606553561322
1653,KDM4B,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9045606553561322
1653,LIN54,TMEMV5,4.0,0.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.904502199244672
1653,LIN54,TMEMmyc,4.0,0.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.904502199244672
1653,LLPH,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9045216925699946
1653,LLPH,TMEMmyc,2.0,2.0,0.8328276590278305,0.09385481948928162,0.07331752148288778,1.237671068564482e-40,2.2370775830037376e-37,0.9045216925699946
1653,MBNL1,TMEMV5,2.0,2.0,0.8325608851179138,0.09446444357082111,0.07297467131126499,4.472917494938911e-37,2.2370775830037376e-37,0.9046384856066062
