"Genotype","cell_num","Puncta_ID","Puncta_Circularity","Puncta_Area","Intra_Puncta_Green_Intensity","Intra_Puncta_Red_Intensity","GreenRed_Ratio","Cell_Body_Area","Puncta_Count","Cell_Avg_Puncta_Green_Intensity","Cell_Avg_Puncta_Red_Intensity","Puncta_Count_Normalized_to_Cell_Area","Cell_Avg_Puncta_GreenRedRatio"
"WT","7","5","0.92258424095872205","0.37186890224083","17.610236220472402","45.039370078740099","0.39099650349650311","130.575762413603","34","112.61144321093001","217.950003881686","26.038523054763999","0.51668474973765799"
"WT","7","6","0.94094613223138401","0.396757765776633","20.9630996309963","45.634686346863397","0.45936767203040402","130.575762413603","34","112.61144321093001","217.950003881686","26.038523054763999","0.51668474973765799"
"WT","7","7","0.923811259032562","0.396757765776633","36.911439114391101","65.062730627306195","0.56732078039927403","130.575762413603","34","112.61144321093001","217.950003881686","26.038523054763999","0.51668474973765799"
"WT","7","8","0.85774640049924","0.174222044750625","28.277310924369701","59.630252100840302","0.47421082299887207","130.575762413603","34","112.61144321093001","217.950003881686","26.038523054763999","0.51668474973765799"
"WT","7","9","0.99128125187961003","0.428966883293556","13.6996587030716","15.866894197952201","0.86341148634114506","130.575762413603","34","112.61144321093001","217.950003881686","26.038523054763999","0.51668474973765799"
"WT","7","10","0.99128125187961003","0.428966883293556","49.0341296928327","75.037542662115996","0.65346129355044069","130.575762413603","34","112.61144321093001","217.950003881686","26.038523054763999","0.51668474973765799"
"WT","7","11","0.88164739872759501","0.535842591417889","77.464480874316905","127.5","0.60756455587699532","130.575762413603","34","112.61144321093001","217.950003881686","26.038523054763999","0.51668474973765799"
"WT","7","12","0.86943902668510498","0.330875479946565","19.438053097345101","43.261061946902601","0.4493198322593841","130.575762413603","34","112.61144321093001","217.950003881686","26.038523054763999","0.51668474973765799"
"WT","7","13","0.72301213358968597","0.379189156221949","17.069498069498","17.8957528957528","0.95382955771305411","130.575762413603","34","112.61144321093001","217.950003881686","26.038523054763999","0.51668474973765799"
"WT","7","14","0.99128125187961003","0.428966883293556","22.542662116040901","41.829351535836103","0.5389197127937333","130.575762413603","34","112.61144321093001","217.950003881686","26.038523054763999","0.51668474973765799"
"WT","7","15","0.99466446434336298","0.430430934089779","33.585034013605402","43.789115646258502","0.76697219201491285","130.575762413603","34","112.61144321093001","217.950003881686","26.038523054763999","0.51668474973765799"
"WT","7","16","0.99128125187961003","0.428966883293556","21.9829351535836","38.0204778156996","0.57818671454219073","130.575762413603","34","112.61144321093001","217.950003881686","26.038523054763999","0.51668474973765799"
"WT","7","17","0.99128125187961003","0.428966883293556","17.457337883958999","31.1843003412969","0.55981175440516484","130.575762413603","34","112.61144321093001","217.950003881686","26.038523054763999","0.51668474973765799"
"WT","7","18","0.970981977097092","0.420182578516213","32.4041811846689","45.641114982578301","0.70997786090541215","130.575762413603","34","112.61144321093001","217.950003881686","26.038523054763999","0.51668474973765799"
"WT","7","19","0.93716591716254005","0.390901562591738","27.4531835205992","34.089887640449398","0.80531751263458529","130.575762413603","34","112.61144321093001","217.950003881686","26.038523054763999","0.51668474973765799"
"WT","7","20","0.97513995990442304","0.414326375331318","16.367491166077698","32.448763250883303","0.50441032342371794","130.575762413603","34","112.61144321093001","217.950003881686","26.038523054763999","0.51668474973765799"
"WT","8","1","0.91911758215603301","0.56365955654614","164.532467532467","222.64675324675301","0.7389843558604261","98.615533532038697","18","304.577717267982","202.788745178125","18.252702546249498","1.5019458648972199"
"WT","8","2","0.87819924081087597","0.235712178192022","155.34782608695599","212.093167701863","0.73245087416171129","98.615533532038697","18","304.577717267982","202.788745178125","18.252702546249498","1.5019458648972199"
"WT","8","3","0.86624208823939597","0.209359263859995","52.356643356643303","159.027972027972","0.3292291455960597","98.615533532038697","18","304.577717267982","202.788745178125","18.252702546249498","1.5019458648972199"
"WT","8","4","0.79759158102630201","0.48167271195761","194.43768996960401","107.35562310030301","1.8111551528878902","98.615533532038697","18","304.577717267982","202.788745178125","18.252702546249498","1.5019458648972199"
"WT","8","5","0.75727532074952697","0.269385346505168","282.875","209.71195652173901","1.3488739730997494","98.615533532038697","18","304.577717267982","202.788745178125","18.252702546249498","1.5019458648972199"
"WT","8","6","0.789730412058678","1.48454750737087","668.10552268244498","355.72781065088702","1.8781368863457431","98.615533532038697","18","304.577717267982","202.788745178125","18.252702546249498","1.5019458648972199"
"WT","8","7","0.97219526577412296","0.409934222942647","210.17500000000001","161.125","1.304422032583398","98.615533532038697","18","304.577717267982","202.788745178125","18.252702546249498","1.5019458648972199"
"WT","8","8","0.87963040383179603","0.462640051606702","393.54746835443001","308.39873417721498","1.2760994930941774","98.615533532038697","18","304.577717267982","202.788745178125","18.252702546249498","1.5019458648972199"
"WT","8","9","0.71825345480695402","0.494849169123624","284.50295857988101","161.66272189349101","1.7598550565499038","98.615533532038697","18","304.577717267982","202.788745178125","18.252702546249498","1.5019458648972199"
"WT","8","10","0.66106792537235803","0.651502604319564","264.44044943820199","210.283146067415","1.2575446695733981","98.615533532038697","18","304.577717267982","202.788745178125","18.252702546249498","1.5019458648972199"
"WT","8","11","0.88318143977129904","0.553411200972574","259.53439153439098","228.03968253968199","1.138110650935626","98.615533532038697","18","304.577717267982","202.788745178125","18.252702546249498","1.5019458648972199"
"WT","8","12","0.50832223152828504","0.792051480757044","216.728280961183","127.619223659889","1.69824165001014","98.615533532038697","18","304.577717267982","202.788745178125","18.252702546249498","1.5019458648972199"
"WT","8","13","0.91435575091646104","0.279633702078734","220.02094240837599","179.743455497382","1.2240831901197129","98.615533532038697","18","304.577717267982","202.788745178125","18.252702546249498","1.5019458648972199"
"WT","8","14","0.94389197116596402","0.194718755897757","127.33082706766901","151.87218045112701","0.83840784197237828","98.615533532038697","18","304.577717267982","202.788745178125","18.252702546249498","1.5019458648972199"
"WT","8","15","0.80370769526119301","0.733489448908094","450.00199600798402","259.12974051896202","1.7365895366034019","98.615533532038697","18","304.577717267982","202.788745178125","18.252702546249498","1.5019458648972199"
"WT","8","16","0.79916032690288996","0.6968881790025","306.04831932773101","210.73739495798301","1.4522734296338395","98.615533532038697","18","304.577717267982","202.788745178125","18.252702546249498","1.5019458648972199"
"WT","8","17","0.74772830890994801","3.22969605646957","201.31051677243801","141.33000906618301","1.4244003669324532","98.615533532038697","18","304.577717267982","202.788745178125","18.252702546249498","1.5019458648972199"
"WT","8","18","0.84675815450041303","1.16099228140542","389.21185372004999","211.464060529634","1.8405579309563429","98.615533532038697","18","304.577717267982","202.788745178125","18.252702546249498","1.5019458648972199"
"WT","9","1","0.34683340475253499","5.02462233263988","293.41870629370601","474.213869463869","0.61874762673102701","59.586867406306197","18","281.34202022307898","447.00635880329298","30.207998479367902","0.62939153925298896"
"WT","9","2","0.72413929626511797","0.909175544454943","534.42673107890403","822.17874396135198","0.65001282872380572","59.586867406306197","18","281.34202022307898","447.00635880329298","30.207998479367902","0.62939153925298896"
"WT","9","3","0.89704842423545195","0.487528915142505","599.07807807807797","685.48948948948896","0.87394203304887286","59.586867406306197","18","281.34202022307898","447.00635880329298","30.207998479367902","0.62939153925298896"
"WT","9","4","0.99128125187961003","0.428966883293556","147.662116040955","115.14334470989699","1.2824198950706953","59.586867406306197","18","281.34202022307898","447.00635880329298","30.207998479367902","0.62939153925298896"
"WT","9","5","0.98789803941585697","0.427502832497332","159.69178082191701","293.20205479452","0.54464755007883958","59.586867406306197","18","281.34202022307898","447.00635880329298","30.207998479367902","0.62939153925298896"
"WT","9","6","0.99128125187961003","0.428966883293556","155.11945392491401","254.027303754266","0.61064087061668471","59.586867406306197","18","281.34202022307898","447.00635880329298","30.207998479367902","0.62939153925298896"
"WT","9","7","0.92831693528278103","0.480208661161387","215.17378048780401","334.51524390243901","0.64324058293307318","59.586867406306197","18","281.34202022307898","447.00635880329298","30.207998479367902","0.62939153925298896"
"WT","9","8","0.595789394833103","0.642718299542222","198.373576309795","335.21640091116097","0.59177765697200457","59.586867406306197","18","281.34202022307898","447.00635880329298","30.207998479367902","0.62939153925298896"
"WT","9","9","0.91152996072598802","0.445071442052017","149.263157894736","393.17434210526301","0.37963605940179679","59.586867406306197","18","281.34202022307898","447.00635880329298","30.207998479367902","0.62939153925298896"
"WT","9","10","0.85289795196368801","0.519738032659428","375.92676056338001","497.388732394366","0.75580071698391005","59.586867406306197","18","281.34202022307898","447.00635880329298","30.207998479367902","0.62939153925298896"
"WT","9","11","0.64653541295532502","1.0424041669113","402.27106741572999","655.48876404494297","0.61369635832254887","59.586867406306197","18","281.34202022307898","447.00635880329298","30.207998479367902","0.62939153925298896"
"WT","9","12","0.61665638830101099","0.521202083455651","138.165730337078","194.79494382022401","0.7092880730240666","59.586867406306197","18","281.34202022307898","447.00635880329298","30.207998479367902","0.62939153925298896"
"WT","9","13","0.94680745109532105","0.529986388232994","289.12154696132598","484.34806629834202","0.59692928924224686","59.586867406306197","18","281.34202022307898","447.00635880329298","30.207998479367902","0.62939153925298896"
"WT","9","14","0.99128125187961003","0.428966883293556","118.300341296928","225.027303754266","0.52571549906723392","59.586867406306197","18","281.34202022307898","447.00635880329298","30.207998479367902","0.62939153925298896"
"WT","9","15","0.91042897163335901","0.408470172146423","185.36559139784899","337.34408602150501","0.54948522614987327","59.586867406306197","18","281.34202022307898","447.00635880329298","30.207998479367902","0.62939153925298896"
"WT","9","16","0.91319522154163302","0.382117257814396","168.78160919540201","331.77777777777698","0.50871884888098517","59.586867406306197","18","281.34202022307898","447.00635880329298","30.207998479367902","0.62939153925298896"
